DATE,Approval
2017-12-19,35.93935
2017-12-20,35.86745
2017-12-21,35.77409
2017-12-22,35.87907
2017-12-23,36.06482
2017-12-24,36.23244
2017-12-25,36.23244
2017-12-26,36.36728
2017-12-27,36.40348
2017-12-28,36.64524
2017-12-29,37.08881
2017-12-30,37.12983
2017-12-31,37.33959
2018-01-01,37.33959
2018-01-02,37.71881
2018-01-03,37.76004
2018-01-04,38.15102
2018-01-05,38.72204
2018-01-06,38.72204
2018-01-07,38.72204
2018-01-08,38.61844
2018-01-09,38.61844
2018-01-10,38.98797
2018-01-11,38.73087
2018-01-12,38.78321
2018-01-13,38.78321
2018-01-14,38.78321
2018-01-15,38.7757
2018-01-16,38.889
2018-01-17,39.35015
2018-01-18,38.7857
2018-01-19,38.57017
2018-01-20,38.57017
2018-01-21,38.08665
2018-01-22,37.68642
2018-01-23,37.34459
2018-01-24,37.5351
2018-01-25,37.48536
2018-01-26,37.41549
2018-01-27,37.41549
2018-01-28,37.41549
2018-01-29,37.5544
2018-01-30,37.95375
2018-01-31,38.84452
2018-02-01,39.17886
2018-02-02,39.52907
2018-02-03,39.54993
2018-02-04,39.54993
2018-02-05,39.74566
2018-02-06,39.51102
2018-02-07,39.63509
2018-02-08,39.73898
2018-02-09,39.70684
2018-02-10,39.70684
2018-02-11,39.70684
2018-02-12,39.8287
2018-02-13,39.55173
2018-02-14,39.79505
2018-02-15,39.79505
2018-02-16,39.80095
2018-02-17,39.80095
2018-02-18,39.80095
2018-02-19,39.5064
2018-02-20,39.41115
2018-02-21,39.41115
2018-02-22,39.61691
2018-02-23,38.93113
2018-02-24,38.93113
2018-02-25,38.15955
2018-02-26,38.24786
2018-02-27,38.51483
2018-02-28,38.98043
2018-03-01,39.06365
2018-03-02,38.79745
2018-03-03,38.79745
2018-03-04,38.79745
2018-03-05,38.82128
2018-03-06,39.08385
2018-03-07,39.14234
2018-03-08,39.85278
2018-03-09,40.05423
2018-03-10,40.05423
2018-03-11,40.05423
2018-03-12,40.034
2018-03-13,39.73454
2018-03-14,39.64307
2018-03-15,39.79709
2018-03-16,39.40322
2018-03-17,39.40322
2018-03-18,39.85175
2018-03-19,39.92498
2018-03-20,39.91188
2018-03-21,39.61889
2018-03-22,39.61889
2018-03-23,39.77478
2018-03-24,39.4158
2018-03-25,39.4158
2018-03-26,40.08774
2018-03-27,39.58513
2018-03-28,39.53133
2018-03-29,39.58919
2018-03-30,39.94889
2018-03-31,39.94889
2018-04-01,39.94889
2018-04-02,39.87597
2018-04-03,39.56424
2018-04-04,39.37093
2018-04-05,39.407
